metric,plasticity_rule,mean,sem,ci95_low,ci95_high
compatibility_cost,base,0.6794572412967682,0.011559670246666955,0.656800287613301,0.7021141949802354
compatibility_cost,err2,0.4475845545530319,0.014005677419330462,0.42013342681114424,0.4750356822949196
compatibility_cost,err2 - base,-0.23187268674373626,0.01853576376432204,-0.26820278372180745,-0.19554258976566508
cue_swap_delta,base,-0.4792398974299431,0.008949843952138811,-0.49678159157613516,-0.46169820328375105
cue_swap_delta,err2,-0.37591544538736343,0.009501867542273671,-0.39453910577021983,-0.35729178500450703
cue_swap_delta,err2 - base,0.10332445204257965,0.010092269513764218,0.08354360379560177,0.12310530028955752
lec_cue_accuracy_90,base,0.8708333283662796,0.032260702843249896,0.8076023507935097,0.9340643059390494
lec_cue_accuracy_90,err2,0.8291666656732559,0.030363899617402587,0.7696534224231468,0.888679908923365
lec_cue_accuracy_90,err2 - base,-0.04166666269302368,0.04133641104809516,-0.1226860283472902,0.03935270296124283
mec_position_accuracy_90,base,0.07041666619479656,0.002182717220586805,0.06613854044244642,0.07469479194714669
mec_position_accuracy_90,err2,0.06933333501219749,0.0026694066934286,0.06410129789307743,0.07456537213131754
mec_position_accuracy_90,err2 - base,-0.0010833311825990677,0.0032697332094375063,-0.00749200827309658,0.005325345907898444
